Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Who invited you to take this survey (type in first and last name)?,Which of the following statements describes you (select all that apply).,How would you rate this product? - 1,What do you like about this product?,What do you Dislike about this product?,How could we improve this product?,WTP,About how often do you take a prescribed medication?,About how often does the person you care for need to take a prescribed medication?,How many prescribed medications do you currently take? - Selected Choice,How many prescribed medications do you currently take? - Other (type amount) - Text,How many prescribed medications does the person you care for currently take? - Selected Choice,How many prescribed medications does the person you care for currently take? - Other (type amount) - Text,About how often do you FORGET take a prescribed medication?,About how often does the person you care for FORGET to take a prescribed medication?,What do you currently use to remind you to take your medications? - Selected Choice,What do you currently use to remind you to take your medications? - Other - Text,What do you currently use to remind the person you care for to take medications? - Selected Choice,What do you currently use to remind the person you care for to take medications? - Other - Text,About how often do you take a nutritional supplement that is a pill?,How many nutritional supplements do you currently take? - Selected Choice,How many nutritional supplements do you currently take? - Other (type amount) - Text,About how often do you FORGET take your nutritional supplement(s)?,How old are you?,What is your annual Income level in USD ($)?
1/22/2025 9:06,1/22/2025 9:14,IP Address,128.187.116.22,100,493,TRUE,1/22/2025 9:14,R_2SjXUXe7cCyF8ym,,,,,40.2584,-111.6591,anonymous,EN,Nile hatch ,,,,,,15,Never,,Other (type amount),0,,,Never,,,,,,Never,,,Never,18-24 years old,0 - 10K
1/26/2025 16:50,1/26/2025 16:52,IP Address,107.122.173.6,100,122,TRUE,1/26/2025 16:52,R_33a3qhiYyKE5gqk,,,,,40.6119,-111.9007,anonymous,EN,testing ,,,,,,0,Never,,Other (type amount),0,,,Never,,,,,,Never,,,Never,18-24 years old,0 - 10K
1/27/2025 10:35,1/27/2025 15:31,IP Address,128.187.116.9,100,17747,TRUE,1/27/2025 15:31,R_1ONDBfGHdpM9DrW,,,,,40.2342,-111.6442,anonymous,EN,nileh,,,,,,10,,,,,,,,,,,,,,,,,,
1/27/2025 15:31,1/27/2025 15:32,IP Address,128.187.116.9,100,53,TRUE,1/27/2025 15:32,R_3Jn33i0eBQ6CbIS,,,,,40.2342,-111.6442,anonymous,EN,Nile Hatch,,,,,,10,,,,,,,,,,,,,,,,,,
1/29/2025 7:20,1/29/2025 7:22,IP Address,128.187.116.9,100,121,TRUE,1/29/2025 7:22,R_1DGTNppkzoQcor7,,,,,40.2342,-111.6442,anonymous,EN,nileh,,,,,,50,Daily,,2,,,,Rarely (maybe a couple times a year),,Pill organizer,,,,Daily,,,Rarely (maybe a couple times a year),55-64 years old,150K+
1/22/2025 10:26,1/22/2025 10:33,IP Address,128.187.116.27,12,407,FALSE,1/29/2025 10:33,R_3OTAbXFTDQMAQoc,,,,,40.2584,-111.6591,anonymous,EN,Nile Hatch,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2025 10:18,1/27/2025 10:37,IP Address,128.187.116.26,35,1113,FALSE,2/3/2025 10:37,R_6VayYdKuaMlYMkv,,,,,40.2342,-111.6442,anonymous,EN,okoko,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2025 10:33,1/27/2025 10:46,IP Address,128.187.116.28,12,793,FALSE,2/3/2025 10:46,R_7fDSqi1bkk7HkWt,,,,,40.2342,-111.6442,anonymous,EN,Nile Hatch,,,,,,,,,,,,,,,,,,,,,,,,
1/29/2025 7:59,1/29/2025 8:00,IP Address,128.187.116.4,8,43,FALSE,2/5/2025 8:00,R_31lmxxnvsGCRCsV,,,,,40.2342,-111.6442,anonymous,EN,Test5,,,,,,,,,,,,,,,,,,,,,,,,
2/5/2025 9:03,2/5/2025 9:04,Survey Preview,,100,17,TRUE,2/5/2025 9:04,R_1d4LtmilbLBF6p3,,,,,40.2584,-111.6591,preview,EN,Test 9,,,,,,,,,,,,,,,,,,,,,,,,
2/5/2025 9:33,2/5/2025 9:44,Survey Preview,,100,641,TRUE,2/5/2025 9:44,R_1GIgsIb4c0ljrf2,,,,,40.2584,-111.6591,preview,EN,Test 11,"I am a Caregiver for someone who has prescribed medications,I take prescribed medications,I take nutritional supplements",,,,,50,,Daily,,,1,,,At least once a month,,,Phone App,,,,,,35-44 years old,150K+
2/5/2025 9:59,2/5/2025 10:11,IP Address,47.212.220.130,100,745,TRUE,2/5/2025 10:11,R_5mEHTrs2r0KuNz3,,,,,34.2198,-111.2878,anonymous,EN,Porter Flake,I take nutritional supplements,7,It would be helpful for elderly people with cognitive issues.,Not useful for people who can put alarms and reminders in their phones or devices,Make it so it holds the meds. A daily pillbox that is also a reminder. Merge the filable box and the reminder device,20,,,,,,,,,,,,,Daily,4,,At least once a week,55-64 years old,150K+
2/5/2025 10:26,2/5/2025 10:31,IP Address,38.78.200.233,100,281,TRUE,2/5/2025 10:31,R_3SkKil2IjQdiLZ8,,,,,41.1315,-112.0469,anonymous,EN,Porter,I take nutritional supplements,6,"I like the practical element of it and the name. It sounds like the light is green when the pills have been taken, but red when they haven’t? That’s a good idea. The adapter is cool!",It’s not very esthetic. What if someone isn’t home when the alarm goes off? Does the light stay on all night? ,"Nothing comes to mind. 

Side note, it would be nice if the product was on this page so I could look at it while I answer the questions. ",15,,,,,,,,,,,,,At least once a week,3,,At least once a week,25-34 years old,40K - 70K
2/5/2025 10:34,2/5/2025 10:43,IP Address,136.36.173.186,100,551,TRUE,2/5/2025 10:43,R_1gMfaKXtsE2MhEf,,,,,40.2342,-111.6442,anonymous,EN,Porter Flake,I take prescribed medications,7,,,,35,Daily,,2,,,,At least once a month,,Other,Nothing,,,,,,,18-24 years old,10K - 40K
2/5/2025 10:24,2/5/2025 10:44,IP Address,174.201.255.154,100,1183,TRUE,2/5/2025 10:44,R_1D1MdwGbKn2dMvp,,,,,33.5613,-112.1442,anonymous,EN,Porter Flake,"I take prescribed medications,I take nutritional supplements",9,"The concept and design, ease of use, both lights and sounds",Nothing,"Different alarm sounds, adaptations for insulin or other refrigerated medications",30,Daily,,1,,,,Rarely (maybe a couple times a year),,Other,Setting it where I can see it,,,,,,,35-44 years old,100K - 150K
2/5/2025 10:51,2/5/2025 10:53,IP Address,174.234.69.206,100,95,TRUE,2/5/2025 10:53,R_61dBk65Hcc7CC01,,,,,36.102,-115.1447,anonymous,EN,Porter Flake,I take prescribed medications,5,,,,10,Daily,,2,,,,At least once a month,,Pill organizer,,,,,,,,25-34 years old,70K - 100K
2/5/2025 12:23,2/5/2025 12:43,IP Address,98.97.114.125,100,1184,TRUE,2/5/2025 12:43,R_5tt0fq3HHHRgHsw,,,,,33.42,-111.9128,anonymous,EN,Porter Flake,I take prescribed medications,10,I like that it can sense when the medications have been taken ,"I don’t have a dislike, it’s a good product!",Maybe only making sure it actually works for all prescription bottles ,30,Daily,,5,,,,Daily,,Pill organizer,,,,,,,,25-34 years old,70K - 100K
2/5/2025 14:38,2/5/2025 14:38,IP Address,47.212.220.130,100,25,TRUE,2/5/2025 14:38,R_3Ipd0Hnd8yVMtuQ,,,,,34.2198,-111.2878,anonymous,EN,Porter Flake,None of the above apply,,,,,,,,,,,,,,,,,,,,,,,
2/5/2025 14:39,2/5/2025 14:45,IP Address,47.212.220.130,100,357,TRUE,2/5/2025 14:45,R_5qHZCAFxmvMg3st,,,,,34.2198,-111.2878,anonymous,EN,Porter Flake,I take nutritional supplements,7,It would remind me to take my pills as long as I'm home. Just taking this survey reminded me that I needed to take my vitamins today. I think I forgot yesterday. This would help.,It's one more technological device to have in the home.,It could have an auto dispenser that gives you the pills you need to take by just putting your hand under it or something.,12,,,,,,,,,,,,,Daily,2,,At least once a week,55-64 years old,150K+
2/5/2025 16:59,2/5/2025 16:59,IP Address,128.187.116.19,100,34,TRUE,2/5/2025 16:59,R_6Tz32Ef2Siji31i,,,,,40.2584,-111.6591,anonymous,EN,Sydney Badal,None of the above apply,,,,,,,,,,,,,,,,,,,,,,,
2/5/2025 16:54,2/5/2025 17:00,IP Address,192.34.255.10,100,372,TRUE,2/5/2025 17:00,R_5JKJYjTE4utsqsN,,,,,40.6982,-111.841,anonymous,EN,Sydney Badal,I take nutritional supplements,,Multiple daily doses are monitered,It’s one more thing to set up!  But if I was taking more than 5 things I think it would be worth it,Maybe if the daily multipack holder was attached to the product?,19,,,,,,,,,,,,,Daily,Other (type amount),7,At least once a month,65+ years old,70K - 100K
2/5/2025 16:51,2/5/2025 17:01,IP Address,96.11.238.186,100,596,TRUE,2/5/2025 17:01,R_6Y9vGej8VkhmMBj,,,,,40.1117,-82.9728,anonymous,EN,Sydney Badal ,I take prescribed medications,10,It is very innovative and helpful for those who rely on medication for their health. ,Possibly have a variation of colors and designs to appeal to a wide range of costumers.,You could improve the product by having a text option for those who prefer that type of communication. ,30,Daily,,1,,,,At least once a week,,Pill organizer,,,,,,,,Under 18,0 - 10K
2/5/2025 16:58,2/5/2025 17:01,IP Address,104.28.103.81,100,200,TRUE,2/5/2025 17:01,R_7Vs8L2BBCUDCPXv,,,,,40.0457,-83.0721,anonymous,EN,Sydney Badal,I take prescribed medications,10,This is a really great idea ,It could be helpful to have an alarm on my phone ,Connect it to your phone ,35,Daily,,3,,,,At least once a week,,Pill organizer,,,,,,,,45-54 years old,150K+
2/5/2025 17:16,2/5/2025 17:27,IP Address,174.230.195.11,100,657,TRUE,2/5/2025 17:27,R_1LhwtCjdH70kIHw,,,,,40.6981,-111.9999,anonymous,EN,Sydney Badal,I take nutritional supplements,7,I like that it will remind me to take my supplements through multiple channels (alarm/buzz or beep and push notification are my preferences there). ,"It seems like it would sense if I've taken my supplements according to the weight of the containers, or maybe a movement sensor. Is that accurate? I have some concerns that the sensing would malfunction. I also have multiple vitamin containers and rarely portion them out beforehand (like when people use a days-of-the-week pill box organizer). ","From what I understand, the mobile app supports the physical tool. Due to the concerns I voiced in my response to the ""dislike"" section, I wouldn't buy the product because I have multiple vitamin containers and don't use an organizer so the tool could (as far as I understand) only monitor one of my vitamins----which in a pinch might be nice but it's not enough to convince me to buy it. 
I wonder if the tool and app could be programmed to remind me to take my vitamins and then have a button on the tool (and in the app) that I could push (or--in the app--slide) to indicate that I took them. Then, if I didn't click/slide the button, the app would know I hadn't taken them and would remind me through the alarm and other notifications? ",20,,,,,,,,,,,,,Daily,5,,At least once a week,18-24 years old,10K - 40K
2/5/2025 17:54,2/5/2025 17:59,IP Address,66.219.236.192,100,305,TRUE,2/5/2025 17:59,R_1QVQq3ZCued9HxV,,,,,40.2342,-111.6442,anonymous,EN,Sydney Badal,I take nutritional supplements,8,I like that it is simple and solves a real problem.,"From the photos it looks like it needs to be plugged it, I think it would be even better if it were wireless so that it could be hidden and take up less space.",Make it wireless and allow for multiple different medications to be placed on it at the same time?,10,,,,,,,,,,,,,Rarely (maybe a couple times a year),1,,At least once a week,18-24 years old,10K - 40K
2/5/2025 18:13,2/5/2025 18:16,IP Address,50.125.50.9,100,185,TRUE,2/5/2025 18:16,R_1iDoTk2hxt46PpF,,,,,48.0589,-122.1579,anonymous,EN,Sydney Badal,I take nutritional supplements,7,It appeals to people with various disabilities. It also is helpful to have a clear way to remember to take your vitamins,If you take more than one vitamin or more than one medication you would have to have a lot of them.,Simplify for people who only take vitamins ,10,,,,,,,,,,,,,Daily,1,,At least once a week,25-34 years old,40K - 70K
