Preferred_snack,WTP,Quantity,Commute,Sweet_tooth,Food_restrictions,Gender,Age
Kolaches,0,0,25 miles,Avoid sweets at all costs,"Gluten free, egg-free, sugar free",Male,Old enough to know better
"Donuts,Other",1.99,1,30 miles,"Prefer fruits, vegetables or nuts",Gluten free,Male,31-35
"Cupcakes,Cinnamon Rolls,Bagels",2,1,30,Would choose sweets when available,Gluten / Dairy free,Male,36-40
"Cupcakes,Cinnamon Rolls,Bagels",1.96,1,15 minutes,Would choose sweets when available,none,Female,41-45
"Donuts,Cinnamon Rolls",3,1,15 mins,Would choose sweets when available,none,Female,41-45
Bagels,0,0,80 miles,"Prefer fruits, vegetables or nuts",No Glutten,Male,36-40
"Cinnamon Rolls,Bagels,Cookies",0.51,2,240,Would choose sweets when available,none,Male,Old enough to know better
Bagels,2.97,1, 1 mile,"Prefer fruits, vegetables or nuts",gluten free and dairy I prefer ,Female,41-45
Bagels,3,1,40 miles,Take it or leave it,none,Male,Old enough to know better
"Donuts,Cinnamon Rolls,Kolaches",1.45,2,45,Would choose sweets when available,None,Male,Old enough to know better
Cookies,1.96,2,1400 miles,Would choose sweets when available,none,Female,36-40
"Cupcakes,Donuts,Cookies",1,1,340 miles,Would choose sweets when available,None,Male,Mind your own business
Other,0,1,707 miles,Take it or leave it,No shell fish in my pastries please,Male,41-45
"Cupcakes,Donuts,Cinnamon Rolls,Bagels",2.49,1,20.5 miles,"Prefer fruits, vegetables or nuts",No,Male,41-45
Kolaches,0,0,27 miles,"Prefer fruits, vegetables or nuts",My wife wants me to eat healthy,Male,36-40
"Donuts,Cinnamon Rolls,Cookies",7.13,10,45 min,Take it or leave it,none,Female,Old enough to know better
Cookies,5,1,5 miles,Would choose sweets when available,none,Female,Old enough to know better
Bagels,0.92,1,26 miles,Take it or leave it,None,Male,31-35
"Donuts,Bagels,Kolaches",3.94,0,15,Would choose sweets when available,None,Male,31-35
"Donuts,Cinnamon Rolls,Bagels,Cookies,Kolaches",1.51,2,35 miles,Would choose sweets when available,None,Male,31-35
Bagels,3.01,2,35 minutes,Take it or leave it,Gluten and Dairy Free,Male,36-40
Cinnamon Rolls,2.51,1,35 miles,Would choose sweets when available,n/a,Male,31-35
Bagels,3.41,1,750 miles,Would choose sweets when available,None,Male,36-40
