Do you workout / exercise?,Do you go to the gym or exercise via other methods (such as running or biking),Which method of exercising takes preference for you?,Do you have a gym membership?,"How often, per month, do you go to the gym?",How long on average are your workouts? - Selected Choice,How long on average are your workouts? - Other: - Text,How long on average do you exercise? - Selected Choice,How long on average do you exercise? - Other: - Text,What brands of drinks are offered at your gym? - Selected Choice,What brands of drinks are offered at your gym? - Other: - Text,What drink do you prefer to have for refreshment? - Selected Choice,What drink do you prefer to have for refreshment? - Other: - Text,Rank the following drinks in order of preference (most preferred item at top). - Coke,Rank the following drinks in order of preference (most preferred item at top). - Pepsi,Rank the following drinks in order of preference (most preferred item at top). - The drink you mentioned above in other (if you did),wtp,P0.5,P1.0,P1.5,P2.0,P2.5,What is your gender?,What is your age?,How much do you weigh in pounds (lbs)? (an estimate is fine),"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",What is your marital status?,Please specify your ethnicity.,What was your total household income before taxes during the past 12 months?,How conscious are you of your diet / food intake?,How conscious are you of protein in your diet?,How many grams of protein do you take a day? - Selected Choice,How many grams of protein do you take a day? - Other: - Text,"Do you use any supplements in your diet? (This includes pills such as multivitamins and/or zinc, etc.)",How do you supplement? (Multiple answers allowed) - Selected Choice,How do you supplement? (Multiple answers allowed) - Other: - Text,What other supplements do you take? (Multiple answers allowed) - Selected Choice,What other supplements do you take? (Multiple answers allowed) - Other: - Text
Yes,Both,Exercise via other methods,Yes,Once a week,,,60min - 90min,,Other:,Water fountain as well as a vending machine with juices,Other:,I wouldn’t consider anything with carbonation to be “refreshing”,2,3,1,0,0,0,0,0,0,Male,25 - 34 years old,140,Bachelor's Degree,"Single, never married",White,"Less than $25,000",Slightly below average,Slightly below average,56 grams a day (normal for the average man),,Never,,,,
Yes,Gym,,Yes,Once a week,30min - 60min,,,,Both,,Coke,,1,2,3,2.5,4,4,4,4,4,Female,25 - 34 years old,140,Doctorate degree,Married or domestic partnership,White,"Less than $25,000",Moderately above average,Average,,,Never,,,,
Yes,Gym,,Yes,Once a week,60min - 90min,,,,Both,,Coke,,,,,2.5,4,4,4,4,4,Female,25 - 34 years old,140,Doctorate degree,Married or domestic partnership,White,"$75,000 - $99,999",Slightly above average,Average,,,Never,,,,
Yes,Gym,,Yes,2-3 times a week,30min - 60min,,,,Neither,,Coke,,,,,1.3,20,20,10,10,10,Female,45 - 54 years old,150,Bachelor's Degree,Married or domestic partnership,White,"$100,000 - $149,999",Moderately above average,Moderately above average,Less than 56 grams a day,,Always,Ingest pills,,"B Vitamins,Coenzyme Q10,Fish Oil,Multivitamins,Vitamin D",
No,,,,,,,,,,,Pepsi,,2,1,3,2.02,20,20,20,20,0,Female,25 - 34 years old,155,Bachelor's Degree,Married or domestic partnership,White,"$75,000 - $99,999",Average,Average,,,Never,,,,
Yes,Both,Gym,Yes,Once a week,,,30min - 60min,,Coke,,Coke,,,,,0,0,0,0,0,0,Male,35 - 44 years old,170,Bachelor's Degree,Married or domestic partnership,White,"$100,000 - $149,999",Average,Slightly below average,,,Never,,,,
Yes,Both,Exercise via other methods,No,Twice per month,,,30min - 60min,,Neither,,Pepsi,,2,1,3,1.51,30,30,30,0,0,Female,25 - 34 years old,157,Associate's Degree,Widowed,Hispanic or Latino,"$75,000 - $99,999",Average,Average,,,Sometimes,Make a shake,,"Fish Oil,Multivitamins",
Yes,Gym,,Yes,Daily,30min - 60min,,,,Neither,,Other:,Mountain Dew,3,2,1,1.8,30,30,20,10,0,Male,35 - 44 years old,170,Bachelor's Degree,Separated,Black or African American,"$75,000 - $99,999",Average,Average,56 grams a day (normal for the average man),,About half the time,"Buy a shake,Ingest pills",,"B Vitamins,Fish Oil,Multivitamins,Zinc",
Yes,Exercise via other methods,,,,,,30min - 60min,,,,Coke,,1,3,2,2,50,40,30,20,10,Male,18 - 24 years old,180,Some college credit,Married or domestic partnership,White,"$50,000 - $74,999",Average,Average,,,Never,,,,
No,,,,,,,,,,,Coke,,,,,1.51,25,21,21,0,0,Female,18 - 24 years old,140,Some college credit,Married or domestic partnership,White,"$35,000 - $49,999",Average,Average,56 grams a day (normal for the average man),,Never,,,,
Yes,Gym,,Yes,2-3 times a week,30min - 60min,,,,Neither,,Other:,Lemonade,3,2,1,1.51,20,20,20,0,0,Female,25 - 34 years old,167,Associate's Degree,Married or domestic partnership,Hispanic or Latino,"$50,000 - $74,999",Average,Average,56 grams a day (normal for the average man),,Never,,,,
Yes,Gym,,Yes,4-6 times a week,60min - 90min,,,,Both,,Pepsi,,3,1,2,1.01,30,30,15,5,0,Male,35 - 44 years old,178,Master's Degree,Married or domestic partnership,White,"$100,000 - $149,999",Average,Average,56 grams a day (normal for the average man),,Sometimes,"Buy a shake,Make a shake,Ingest pills",,"Calcium,Fish Oil,Iron,Multivitamins",
