StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q44,Q46,Q125,Q47,Q48,Q49,Q49_5_TEXT,Q50,Q50_5_TEXT,Q51,Q51_5_TEXT,Q52,Q52_3_TEXT,Q65_1,Q65_2,Q65_3,Q2_1,Q9_1,Q121_1,Q122_1,Q123_1,Q124_1,Q70,Q43,Q66,Q67,Q68,Q69,Q71,Q72,Q73,Q74,Q74_4_TEXT,Q75,Q76,Q76_4_TEXT,Q77,Q77_11_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you workout / exercise?,Do you go to the gym or exercise via other methods (such as running or biking),Which method of exercising takes preference for you?,Do you have a gym membership?,"How often, per month, do you go to the gym?",How long on average are your workouts? - Selected Choice,How long on average are your workouts? - Other: - Text,How long on average do you exercise? - Selected Choice,How long on average do you exercise? - Other: - Text,What brands of drinks are offered at your gym? - Selected Choice,What brands of drinks are offered at your gym? - Other: - Text,What drink do you prefer to have for refreshment? - Selected Choice,What drink do you prefer to have for refreshment? - Other: - Text,Rank the following drinks in order of preference (most preferred item at top). - Coke,Rank the following drinks in order of preference (most preferred item at top). - Pepsi,Rank the following drinks in order of preference (most preferred item at top). - The drink you mentioned above in other (if you did),What is the most you would be willing to pay for Muscle Cola? (If 0 please move slider to 0) - Willingness to pay for Muscle Cola,"If the price of Muscle Cola is $0.50, how many servings would you consume per month? (If 0 please move slider to 0) - Muscle Cola","If the price of Muscle Cola is $1.00, how many servings would you consume per month? (If 0 please move slider to 0) - Muscle Cola","If the price of Muscle Cola is $1.50, how many servings would you consume per month? (If 0 please move slider to 0) - Muscle Cola","If the price of Muscle Cola is $2.00, how many servings would you consume per month? (If 0 please move slider to 0) - Muscle Cola","If the price of Muscle Cola is $2.50, how many servings would you consume per month? (If 0 please move slider to 0) - Muscle Cola",What is your gender?,What is your age?,How much do you weigh in pounds (lbs)? (an estimate is fine),"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",What is your marital status?,Please specify your ethnicity.,What was your total household income before taxes during the past 12 months?,How conscious are you of your diet / food intake?,How conscious are you of protein in your diet?,How many grams of protein do you take a day? - Selected Choice,How many grams of protein do you take a day? - Other: - Text,"Do you use any supplements in your diet? (This includes pills such as multivitamins and/or zinc, etc.)",How do you supplement? (Multiple answers allowed) - Selected Choice,How do you supplement? (Multiple answers allowed) - Other: - Text,What other supplements do you take? (Multiple answers allowed) - Selected Choice,What other supplements do you take? (Multiple answers allowed) - Other: - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID44""}","{""ImportId"":""QID46""}","{""ImportId"":""QID142""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_5_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_5_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_5_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_3_TEXT""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID65_2""}","{""ImportId"":""QID65_3""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID138_1""}","{""ImportId"":""QID139_1""}","{""ImportId"":""QID140_1""}","{""ImportId"":""QID141_1""}","{""ImportId"":""QID70""}","{""ImportId"":""QID43""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID74_4_TEXT""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID76_4_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID77_11_TEXT""}"
8/14/19 15:30,8/14/19 15:37,Survey Preview,,100,395,TRUE,8/14/19 15:37,R_3gMaTzPDH0uBrYC,,,,,40.6750946,-111.816597,preview,EN,Yes,Both,Exercise via other methods,Yes,Once a week,,,60min - 90min,,Other:,Water fountain as well as a vending machine with juices,Other:,I wouldn’t consider anything with carbonation to be “refreshing”,2,3,1,0,0,0,0,0,0,Male,25 - 34 years old,140,Bachelor's Degree,"Single, never married",White,"Less than $25,000",Slightly below average,Slightly below average,56 grams a day (normal for the average man),,Never,,,,
8/14/19 18:48,8/14/19 18:52,Survey Preview,,100,256,TRUE,8/14/19 18:52,R_33wjZTLJF2PP4KV,,,,,36.12199402,-115.0859985,preview,EN,Yes,Gym,,Yes,Once a week,30min - 60min,,,,Both,,Coke,,1,2,3,2.5,4,4,4,4,4,Female,25 - 34 years old,140,Doctorate degree,Married or domestic partnership,White,"Less than $25,000",Moderately above average,Average,,,Never,,,,
8/14/19 20:27,8/14/19 20:31,Survey Preview,,100,236,TRUE,8/14/19 20:31,R_2rQZyjqLDXWZzKp,,,,,40.16360474,-111.5998001,preview,EN,Yes,Gym,,Yes,Once a week,60min - 90min,,,,Both,,Coke,,,,,2.5,4,4,4,4,4,Female,25 - 34 years old,140,Doctorate degree,Married or domestic partnership,White,"$75,000 - $99,999",Slightly above average,Average,,,Never,,,,
8/15/19 8:16,8/15/19 8:27,Survey Preview,,100,709,TRUE,8/15/19 8:27,R_3FWLFYbeMxRFTJS,,,,,40.16360474,-111.5998001,preview,EN,Yes,Gym,,Yes,2-3 times a week,30min - 60min,,,,Neither,,Coke,,,,,1.3,20,20,10,10,10,Female,45 - 54 years old,150,Bachelor's Degree,Married or domestic partnership,White,"$100,000 - $149,999",Moderately above average,Moderately above average,Less than 56 grams a day,,Always,Ingest pills,,"B Vitamins,Coenzyme Q10,Fish Oil,Multivitamins,Vitamin D",
8/18/19 10:17,8/18/19 10:18,IP Address,107.77.202.102,100,107,TRUE,8/18/19 10:18,R_W2sAWz7vBAALBjH,,,,,39.37159729,-76.67440033,anonymous,EN,No,,,,,,,,,,,Pepsi,,2,1,3,2.02,20,20,20,20,0,Female,25 - 34 years old,155,Bachelor's Degree,Married or domestic partnership,White,"$75,000 - $99,999",Average,Average,,,Never,,,,
8/18/19 10:24,8/18/19 10:26,IP Address,107.77.202.102,100,114,TRUE,8/18/19 10:26,R_2XmO6FkT5REcjfC,,,,,39.37159729,-76.67440033,anonymous,EN,Yes,Both,Gym,Yes,Once a week,,,30min - 60min,,Coke,,Coke,,,,,0,0,0,0,0,0,Male,35 - 44 years old,170,Bachelor's Degree,Married or domestic partnership,White,"$100,000 - $149,999",Average,Slightly below average,,,Never,,,,
8/18/19 10:27,8/18/19 10:29,IP Address,107.77.202.102,100,109,TRUE,8/18/19 10:29,R_1loAHmTmAWh2ZDt,,,,,39.37159729,-76.67440033,anonymous,EN,Yes,Both,Exercise via other methods,No,Twice per month,,,30min - 60min,,Neither,,Pepsi,,2,1,3,1.51,30,30,30,0,0,Female,25 - 34 years old,157,Associate's Degree,Widowed,Hispanic or Latino,"$75,000 - $99,999",Average,Average,,,Sometimes,Make a shake,,"Fish Oil,Multivitamins",
8/18/19 10:29,8/18/19 10:31,IP Address,107.77.202.102,100,121,TRUE,8/18/19 10:31,R_3EcJ67aBoqqHXyw,,,,,39.37159729,-76.67440033,anonymous,EN,Yes,Gym,,Yes,Daily,30min - 60min,,,,Neither,,Other:,Mountain Dew,3,2,1,1.8,30,30,20,10,0,Male,35 - 44 years old,170,Bachelor's Degree,Separated,Black or African American,"$75,000 - $99,999",Average,Average,56 grams a day (normal for the average man),,About half the time,"Buy a shake,Ingest pills",,"B Vitamins,Fish Oil,Multivitamins,Zinc",
